,Issue #,Framework,same code,same data,DL Stage,Impacts,General Code Error Type,Root Causes,Manifestation
0,2,pytorch,yes,yes,modeling,bad performance (lower accuracy),timing/optimization,model/weight,reproducibility defects
1,2,pytorch,yes,yes,training,bad performance (lower accuracy),timing/optimization,loss function,evolutionary defects
2,2,pytorch,yes,yes,training,bad performance (lower accuracy),assignment/initialization,optimizer,evolutionary defects
3,2,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,optimizer,evolutionary defects
4,2,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,loss function,evolutionary defects
5,2,caffe,yes,nan,training,crash,internal interface,gpu usage bug,basic defects
6,3,tensorflow,nan,no,data pipeline,nan,other,nan,nan
7,5,caffe2,yes,no,training,crash,memory exhaustion,hyperparameters,basic defects
8,6,pytorch,yes,yes,training,bad performance (lower accuracy),internal interface,evaluation,reproducibility defects
9,6,pytorch,yes,yes,training,bad speed – performance balance ,assignment/initialization,hyperparameters,evolutionary defects
10,7,caffe,yes,nan,nan,crash,internal interface,wrong environment configuration,basic defects
11,8,caffe,yes,yes,nan,nan,nan,nan,nan
12,9,pytorch,yes,nan,nan,crash,internal interface,gpu usage bug ,basic defects
13,9,keras, no,yes,training,crash,internal interface,wrong environment configuration,basic defects
14,9,caffe,no,no,training,crash,data structure,data preprocessing bugs,basic defects
15,16,tensorflow,yes,yes,data pipeline,bad data quality,assignment/initialization,data preprocessing bugs,reproducibility defects
16,16,tensorflow,yes,yes,training,bad performance (lower accuracy),algorithm/method,loss function,reproducibility defects
17,20,caffe2,yes,not specified,other,crash,external interface,wrong environment configuration,basic defects
18,21,pytorch,yes,yes,training,crash,external interface,gpu usage bug  ,evolutionary defects
19,22,pytorch,no,no,modeling,crash,internal interface,model/weight,basic defects
20,22,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,loss function,reproducibility defects
21,28,pytorch,yes,yes,training,crash,data structure,data preprocessing bugs,basic defects
22,29,pytorch,nan,yes,other ,crash,internal interface,wrong environment configuration,basic defects
23,30,keras,yes,no,training,numerical instability,algorithm/method,other training process,evolutionary defects
24,32,keras,no,yes,training,crash,syntax error,api defects,basic defects
